item_instance_id,human_attempts_total,human_participants,valid_attempts,human_accuracy,median_rt_ms_all_valid,mean_rt_ms_all_valid,median_rt_ms_correct_valid
01.1.0.0.a__c1,10,9,10,1.0,34857.0,35821.8,35464.1
01.1.0.0.a__c2,10,9,10,0.8,22734.0,24872.5494,21673.4
01.1.0.0.a__c3,8,8,8,0.75,36890.399999999994,34122.625,36079.45
01.1.0.0.a__c4,10,9,10,1.0,19469.300000000003,17929.9,19469.300000000003
01.1.0.0.a__c5,10,9,10,0.9,22855.4,25543.629999999997,21764.7
01.1.0.0.a__c6,10,9,10,0.8889,28426.35,35920.04,25344.0
01.1.0.0.b__c1,10,9,10,1.0,35675.6,37248.090000000004,35675.6
01.1.0.0.b__c2,10,9,10,1.0,25356.11,23822.7029,25356.11
01.1.0.0.b__c3,8,8,8,0.625,28945.050000000003,29364.1,32725.7
01.1.0.0.b__c4,10,9,10,1.0,18341.9,24300.58,18341.9
01.1.0.0.b__c5,10,9,10,1.0,20166.65,23018.19,20166.65
01.1.0.0.b__c6,10,9,10,1.0,26416.5,26049.5,26416.5
03.1.0.0.a__c1,10,9,10,1.0,23528.35,24042.31,23528.35
03.1.0.0.a__c2,10,9,10,1.0,26790.1345,25489.822900000003,26790.1345
03.1.0.0.a__c3,8,8,8,1.0,21860.4,29280.087499999998,21860.4
03.1.0.0.a__c4,10,9,10,1.0,18729.25,22404.510000000002,18729.25
03.1.0.0.a__c5,10,9,9,1.0,22223.8,24385.133333333335,23958.35
03.1.0.0.a__c6,10,9,10,1.0,23962.45,29488.620000000003,23962.45
03.1.0.0.b__c1,10,9,10,1.0,27214.2,30633.090000000004,27214.2
03.1.0.0.b__c2,10,9,10,0.9,29667.6,27120.2259,27787.5
03.1.0.0.b__c3,8,8,8,1.0,26843.0,29959.074999999997,29497.6
03.1.0.0.b__c4,10,9,10,0.9,22512.0,23470.03,22512.0
03.1.0.0.b__c5,10,9,10,1.0,42836.45,57690.7,42836.45
03.1.0.0.b__c6,10,9,10,1.0,23459.55,27958.590000000004,23459.55
05.1.0.0.a__c1,10,9,10,0.5556,50251.100000000006,47459.18,44009.2
05.1.0.0.a__c2,10,9,10,1.0,26222.15,30452.299300000002,24999.9
05.1.0.0.a__c3,8,8,8,0.6667,32525.75,32015.5625,28222.0
05.1.0.0.a__c4,10,9,10,0.8,25627.2,29180.8,24759.0
05.1.0.0.a__c5,10,9,9,0.8889,43013.5,36774.7,43786.9
05.1.0.0.a__c6,10,9,9,0.8889,38227.3,35936.18888888889,38520.15
05.1.0.0.b__c1,10,9,10,0.25,38757.05,42871.89,40065.65
05.1.0.0.b__c2,10,9,10,0.7778,32663.764000000003,31424.968800000002,32540.628
05.1.0.0.b__c3,8,8,8,0.8333,36859.65,38237.1875,37805.5
05.1.0.0.b__c4,10,9,10,1.0,29222.25,32581.670000000002,29222.25
05.1.0.0.b__c5,10,9,10,1.0,36875.8,41434.95,44246.6
05.1.0.0.b__c6,10,9,9,1.0,28566.5,31713.73333333333,26243.3
12.1.0.0.a__c1,10,9,10,0.6667,33685.75,35676.89,32490.8
12.1.0.0.a__c2,10,9,10,0.75,30500.4,30818.960100000004,34959.5
12.1.0.0.a__c3,8,8,8,1.0,25652.85,28001.074999999997,23818.6
12.1.0.0.a__c4,10,9,10,1.0,23525.6,71050.87,23525.6
12.1.0.0.a__c5,10,9,10,0.8889,29939.800000000003,38874.76,25241.95
12.1.0.0.a__c6,10,9,10,0.5556,23803.05,23594.52,24015.0
12.1.0.0.b__c1,10,9,10,1.0,24899.4,33278.479999999996,24899.4
12.1.0.0.b__c2,10,9,10,0.6667,26515.489999999998,27163.037,24205.39
12.1.0.0.b__c3,8,8,8,1.0,26626.95,27026.1625,26626.95
12.1.0.0.b__c4,10,9,10,1.0,19269.85,21805.379999999997,19269.85
12.1.0.0.b__c5,10,9,9,1.0,24338.0,25809.588888888888,28479.9
12.1.0.0.b__c6,10,9,9,1.0,19631.4,24441.655555555557,19398.45
