model,base_context,items,accuracy,ci_low,ci_high
gpt-4.1,hide_the_item,12,0.9166666666666666,0.646120088858883,0.9851349055950829
gpt-4.1,object_drop,12,1.0,0.7575059933447589,0.9999999999999999
gpt-4.1,ouch_that_hurt,12,0.75,0.46769466506643426,0.9110583316059453
gpt-4.1,unexpected_contents,12,1.0,0.7575059933447589,0.9999999999999999
gpt-5-mini,hide_the_item,12,0.8333333333333334,0.5519691377470265,0.9530348578161462
gpt-5-mini,object_drop,12,1.0,0.7575059933447589,0.9999999999999999
gpt-5-mini,ouch_that_hurt,12,0.5833333333333334,0.31951131254954973,0.8067396863412435
gpt-5-mini,unexpected_contents,12,1.0,0.7575059933447589,0.9999999999999999
gpt-5.4,hide_the_item,12,0.9166666666666666,0.646120088858883,0.9851349055950829
gpt-5.4,object_drop,12,1.0,0.7575059933447589,0.9999999999999999
gpt-5.4,ouch_that_hurt,12,0.75,0.46769466506643426,0.9110583316059453
gpt-5.4,unexpected_contents,12,1.0,0.7575059933447589,0.9999999999999999
